Shale_play,total_weighted_flow,median_flow,TDS_combined,Ag,Al,As,Au,B,BO3,Ba,Be,Bi,Br,CO3,HCO3,Ca,Cd,Cl,Co,Cr,Cs,Cu,F,FeTot,FeIII,FeII,FeS,FeAl,FeAl2O3,Hg,I,K,KNa,Li,Mg,Mn,Mo,N,NO2,NO3,NO3NO2,NH4,TKN,Na,Ni,OH,P,PO4,Pb,Rh,Rb,S,SO3,SO4,HS,Sb,Sc,Se,Si,Sn,Sr,Ti,Tl,U,V,W,Zn,ALKHCO3,ACIDITY,DIC,DOC,TOC,CN,BOD,COD,BENZENE,TOLUENE,ETHYLBENZ,XYLENE,ACETATE,BUTYRATE,FORMATE,LACTATE,PHENOLS,PERC,PROPIONATE,PYRUVATE,VALERATE,ORGACIDS,Ar,CH4,C2H6,CO2,H2,H2S,He,N2,NH3,O2,ALPHA,BETA,dD,H3,d7Li,d11B,d13C,C14,d18O,d34S,d37Cl,K40,d81Br,Sr87Sr86,I129,Rn222,Ra226,Ra228
RATON BASIN,0.5912855729600446,0.2158667645140248,2040.0,0.02,0.05,0.01,,0.25,,0.73,,,1.2,,1130.0,1130.0,,7.3,,0.02,,0.03,1.96,2.9,,,,,,,,1.6,5.6,0.18,388.0,0.05,,2.0,,,,,,820.0,0.01,,,0.03,0.015,,,,,12.0,,,,0.01,3.08,,0.925,,,0.8500000000000001,,,0.04,,,,,2.255,1.0,,,2.1,2.2,1.06,3.0,,,,,,,,,,,,,,,,0.22,,,,,7.05,6.949999999999999,,,,,,,,,,,,,,30.5,0.1,
SAN JOAQUIN BASIN,51.021400850440585,0.5656028484453142,26376.91,,3.0,,,42.7,30.0,1.165,,,112.0,13.23,917.24,711.0,,14400.0,,,,,1.395,2.245,,,,,20.4,,19.79,115.0,540.0,1.43,53.0,,,,,,,18.0,,7450.0,,,,2.0,,,0.328,136.5,,102.0,,,,,61.0,,50.85,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,422.0,,3.5949999999999998,,,30.6,,,,-23.0,,,,5.6,,1.9,,,,,,,,,
SAN JUAN,1.0894299327228216,0.12168831992462129,3354.0,,,,,0.28,,1.5,,,3.3,48.36,2750.0,2555.0,,23.5,,0.03,,0.025,1.155,4.9,,,,,,,1.02,8.0,8.6,1.02,135.5,0.09,,0.6000000000000001,,,,,,1113.5,,,,4.3,,,,,,8.0,,,,0.060000000000000005,,,19.745,,,,,,0.03,,,,,,,,,1.6,1.8,,,,,,,,,,,,,,,,,,0.11499999999999999,,,,,,,,,,,,,,,,,,,,,,
SANTA MARIA BASIN,3.150601643249844,0.7416075505544685,23727.0,,,,,13.18,97.0,2.015,,,,1184.25,1955.0,53.32,,11595.0,,,,,,,,,,,,,,51.71,,,70.84,,,,,,,5.07,,8116.24,,,,,,,,,,70.295,,,,,69.97,,36.355000000000004,,,,,,,,,,,66.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX-LA-MS SALT,16.190340463541077,0.11810179307006867,192120.5,,0.132,,,71.0,27.5,25.0,,,1268.0,38.65,139.0,18070.0,0.27,117775.0,,,1.55,1.0,11.25,32.5,,,,,63.5,,15.0,533.0,53232.46,34.0,1630.0,20.0,,,,2.0,,82.0,,52400.0,,,,,28.0,,5.2,,,173.5,,,,,32.42,,892.0,,,,,,5.0,162.0,,,19.0,184.0,,,,,,,,18.0,,,,,,,,,,,,,,,56.0,,,54.0,,,,-10.0,,16.6,30.0,-0.1499999999999999,,3.0,,,,,0.70825,,,501.857,613.35575
UINTA-PICEANCE,6.482716076445238,0.04887489128071319,10606.0,,,,,5.0,8.5,12.5,,,16.0,96.0,1190.0,39.0,,3650.0,,,0.12,0.08,,1.2,13.0,25.0,,,,,14.0,27.0,,2.0,14.0,0.05,,,,,,29.0,,3860.0,,1767.5,,,,,0.2,,,470.0,,,,,8.1,,8.0,,,,,,0.18,6640.0,,,6.0,120.0,,,,,,,,33.428143215,,,,,,,,,,,,,,,44.0,,,,,,,-69.0,,,,,,-7.6,,,,,,,,,
VALLEY AND RIDGE,0.4594210961783257,0.07059845437413931,907.0,0.0005,,0.003,,,,0.004,,,,14.0,908.0,1.8,,40.0,,0.01,,,2.8,3.2,,,,,,,,0.9,,0.12,0.6,0.077,,,,2.75,,,,400.0,0.002,,,919.86,0.003,,,,,2.0,,,,,11.0,,0.05,,,,0.005,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,,,,,,,,,,,,,,,,,,,
VENTURA BASIN,12.714584401065633,0.7416075505544685,29400.0,,0.01,,,15.0,242.5,8.5,,,58.3,915.0,795.0,498.0,,14500.0,,,,,6.0,6.8,1.0,2.0,,,,,40.0,69.0,,1.05,111.0,0.4,,,,0.2,,75.0,,7725.0,,,,0.2,,,,19.0,,27.15,,,,,65.0,,24.0,,,,,,,,,,96.0,540.0,,,,,,,,1.1,,,,0.19,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,
WESTERN GULF,16.999031264286028,0.0932239242654032,42585.0,,0.5700000000000001,0.0022,,50.45,16.0,18.0,,,72.0,69.83,450.0,943.18,0.0001,25515.0,0.0013,0.123,1.8,0.0004,1.775,11.0,0.5,8.1,,12.54,48.985,0.00275,18.0,167.0,39960.185,5.119999999999999,70.93,1.1,,,,5.5,,230.0,,14041.0,0.00425,14.63,0.3,,0.0024,,0.39,17.0,,18.725,,,,,37.4,,93.13,,,,,,0.3,471.0,,52.0,13.5,96.0,,,,,,,,526.0016653,8.0,,,,,27.0,,3.0,21.0,0.065,3.1,0.675,130.0,,0.5,,2.0949999999999998,15.0,0.06,,,-15.0,,8.45,22.0,-6.0,0.8,4.0,32.3,,,,0.7087,,,,
WILLISTON,25.21117104974337,0.2096644424512575,297733.5,,0.053499999,0.243,,13.8,,18.5,0.0015,,590.0,300.0,220.0,13380.0,0.024,181266.0,0.025,1.0,0.064,0.043000002,6.0,9.0,,,,,,,14.0,2860.0,,20.0,1067.0,0.066,0.0108,,,70.0,,300.0,,88600.0,0.2405000035,748.0,,,0.027499999999999997,,1.36,,,679.0,,0.00105,,0.1705,56.8,,752.0,,,0.00598,0.687,,4.142,290.17312849999996,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,-57.0,,,,,,0.4,,-0.155,,0.36,0.70931,,,,
